ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
734243,26/08/2017,26/08/2017,936,108660,30-34,M,21,23,24,739.0,0,0.0,1.0,1.0
734266,26/08/2017,26/08/2017,936,108664,30-34,M,25,30,27,605.0,0,0.0,1.0,0.0
734272,26/08/2017,26/08/2017,936,108665,30-34,M,26,32,29,1030.0,0,0.0,1.0,0.0
734290,26/08/2017,26/08/2017,936,108668,30-34,M,29,32,35,5374.0,1,1.039999962,4.0,0.0
734313,26/08/2017,26/08/2017,936,108672,30-34,M,36,38,38,790.0,0,0.0,1.0,1.0
734314,27/08/2017,27/08/2017,936,108672,30-34,M,36,38,38,962.0,0,0.0,1.0,0.0
734352,27/08/2017,27/08/2017,936,108678,35-39,M,10,11,16,4423.0,1,1.460000038,1.0,1.0
734361,29/08/2017,29/08/2017,936,108680,35-39,M,16,19,19,12382.0,2,2.839999914,1.0,1.0
734381,29/08/2017,29/08/2017,936,108683,35-39,M,20,25,24,2938.0,1,1.350000024,1.0,1.0
734399,28/08/2017,28/08/2017,936,108686,35-39,M,23,24,27,239.0,0,0.0,1.0,0.0
734418,29/08/2017,29/08/2017,936,108689,35-39,M,26,27,28,591.0,0,0.0,1.0,0.0
734421,29/08/2017,29/08/2017,936,108690,35-39,M,27,29,32,10332.0,4,5.75,1.0,0.0
734427,29/08/2017,29/08/2017,936,108691,35-39,M,28,29,31,8259.0,3,3.980000019,1.0,0.0
734433,29/08/2017,29/08/2017,936,108692,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0
734582,29/08/2017,29/08/2017,936,108716,40-44,M,29,33,33,7709.0,2,1.320000052,2.0,0.0
734605,28/08/2017,28/08/2017,936,108720,40-44,M,36,37,41,834.0,0,0.0,1.0,0.0
734660,28/08/2017,28/08/2017,936,108729,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0
734666,28/08/2017,28/08/2017,936,108730,45-49,M,19,24,20,371.0,0,0.0,1.0,0.0
734726,28/08/2017,28/08/2017,936,108740,45-49,M,29,30,35,10466.0,3,4.090000033,1.0,0.0
734737,27/08/2017,27/08/2017,936,108742,45-49,M,31,37,33,839.0,0,0.0,1.0,0.0
734785,28/08/2017,28/08/2017,936,108750,30-34,F,10,13,13,5576.0,1,1.529999971,1.0,1.0
734794,28/08/2017,28/08/2017,936,108752,30-34,F,16,19,17,4010.0,0,0.0,1.0,0.0
734796,28/08/2017,28/08/2017,936,108752,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0
734800,28/08/2017,28/08/2017,936,108753,30-34,F,18,20,20,1635.0,0,0.0,1.0,0.0
734803,28/08/2017,28/08/2017,936,108753,30-34,F,18,19,21,1631.0,0,0.0,1.0,0.0
734852,28/08/2017,28/08/2017,936,108761,30-34,F,26,30,29,13479.0,3,4.25,1.0,0.0
734854,19/08/2017,19/08/2017,936,108762,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0
734856,19/08/2017,19/08/2017,936,108762,30-34,F,27,28,32,5453.0,1,1.389999986,1.0,1.0
734866,20/08/2017,20/08/2017,936,108764,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0
734881,20/08/2017,20/08/2017,936,108766,30-34,F,31,32,34,4259.0,1,1.570000052,1.0,1.0
734901,20/08/2017,20/08/2017,936,108770,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0
734903,20/08/2017,20/08/2017,936,108770,30-34,F,64,69,67,5323.0,1,1.289999962,1.0,1.0
734925,20/08/2017,20/08/2017,936,108774,35-39,F,10,11,12,5024.0,1,1.409999967,1.0,1.0
734939,20/08/2017,20/08/2017,936,108776,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0
734968,20/08/2017,20/08/2017,936,108781,35-39,F,22,25,27,8504.0,3,3.340000093,1.0,1.0
734999,20/08/2017,20/08/2017,936,108786,35-39,F,27,32,32,20277.0,6,8.050000072,1.0,0.0
735014,19/08/2017,19/08/2017,936,108788,35-39,F,29,34,30,12403.0,4,5.210000038,1.0,1.0
735032,19/08/2017,19/08/2017,936,108791,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0
735033,18/08/2017,18/08/2017,936,108792,35-39,F,36,40,40,652.0,0,0.0,0.0,0.0
735043,18/08/2017,18/08/2017,936,108793,35-39,F,63,65,69,1357.0,0,0.0,1.0,1.0
735048,18/08/2017,18/08/2017,936,108794,35-39,F,64,65,68,1393.0,0,0.0,1.0,0.0
735065,19/08/2017,19/08/2017,936,108797,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0
735109,19/08/2017,19/08/2017,936,108804,40-44,F,21,26,25,708.0,0,0.0,1.0,1.0
